ver, WER
noisy_speech, 58.88
ibm_mse_e150, 56.87
ibm_e150, 58.71
irm_mse_e150, 41.58
irm_e150, 41.97
mag_norm_e150, 43.10
pow_db_e150, 48.84
pow_db_std_e150, 55.89
pow_db_norm_mse_e150, 51.22
pow_db_norm_e150, 50.43
mag_bar_mse_e150, 50.02
mag_bar_e150, 50.61
xi_db_e150_mmse-lsa, 45.10
xi_db_e150_srwf, 45.10
xi_db_std_e150_mmse-lsa, 45.51
xi_db_std_e150_srwf, 46.52
xi_db_norm_mse_e150_mmse-lsa, 45.35
xi_db_norm_mse_e150_srwf, 45.70
xi_db_norm_e150_mmse-lsa, 49.50
xi_db_norm_e150_srwf, 48.98
xi_bar_mse_e150_mmse-lsa, 43.23
xi_bar_mse_e150_srwf, 42.95
xi_bar_e150_mmse-lsa, 43.68
xi_bar_e150_srwf, 43.63
xi_gamma_db_e150_mmse-lsa, 45.65
xi_gamma_bar_mse_e150_mmse-lsa, 41.87
xi_gamma_bar_e150_mmse-lsa, 43.90
xi_gamma_db_norm_mse_e150_mmse-lsa, 47.39
xi_gamma_db_norm_e150_mmse-lsa, 47.76
